2theta,Intensity 
20.038307,77
20.058572,92
20.078838,78
20.099103,73
20.119368,76
20.139633,70
20.159898,68
20.180163,84
20.200428,74
20.220693,62
20.240958,68
20.261223,80
20.281488,74
20.301753,69
20.322019,59
20.342284,78
20.362549,74
20.382814,64
20.403079,75
20.423344,68
20.443609,75
20.463874,71
20.484139,74
20.504404,66
20.524669,63
20.544935,73
20.5652,75
20.585465,59
20.60573,68
20.625995,60
20.64626,69
20.666525,70
20.68679,69
20.707055,64
20.72732,67
20.747585,57
20.767851,71
20.788116,62
20.808381,76
20.828646,63
20.848911,56
20.869176,66
20.889441,76
20.909706,63
20.929971,81
20.950236,63
20.970501,71
20.990766,68
21.011032,57
21.031297,59
21.051562,66
21.071827,72
21.092092,71
21.112357,58
21.132622,60
21.152887,76
21.173152,78
21.193417,77
21.213682,79
21.233948,68
21.254213,62
21.274478,64
21.294743,65
21.315008,58
21.335273,63
21.355538,74
21.375803,64
21.396068,61
21.416333,66
21.436598,65
21.456864,63
21.477129,72
21.497394,71
21.517659,64
21.537924,84
21.558189,64
21.578454,74
21.598719,56
21.618984,46
21.639249,70
21.659514,58
21.67978,79
21.700045,63
21.72031,59
21.740575,69
21.76084,68
21.781105,63
21.80137,81
21.821635,73
21.8419,94
21.862165,75
21.88243,68
21.902695,52
21.922961,68
21.943226,59
21.963491,93
21.983756,80
22.004021,57
22.024286,77
22.044551,84
22.064816,74
22.085081,73
22.105346,57
22.125611,78
22.145877,65
22.166142,79
22.186407,49
22.206672,60
22.226937,51
22.247202,67
22.267467,57
22.287732,45
22.307997,65
22.328262,77
22.348527,65
22.368793,58
22.389058,65
22.409323,56
22.429588,70
22.449853,74
22.470118,71
22.490383,72
22.510648,69
22.530913,68
22.551178,59
22.571443,72
22.591709,61
22.611974,74
22.632239,47
22.652504,78
22.672769,68
22.693034,54
22.713299,65
22.733564,65
22.753829,63
22.774094,50
22.794359,66
22.814624,66
22.83489,71
22.855155,62
22.87542,64
22.895685,60
22.91595,71
22.936215,59
22.95648,69
22.976745,54
22.99701,55
23.017275,69
23.03754,81
23.057806,63
23.078071,74
23.098336,57
23.118601,68
23.138866,56
23.159131,61
23.179396,65
23.199661,72
23.219926,68
23.240191,71
23.260456,73
23.280722,76
23.300987,66
23.321252,68
23.341517,63
23.361782,73
23.382047,78
23.402312,79
23.422577,67
23.442842,83
23.463107,55
23.483372,80
23.503637,79
23.523903,66
23.544168,76
23.564433,83
23.584698,88
23.604963,92
23.625228,77
23.645493,74
23.665758,87
23.686023,83
23.706288,76
23.726553,100
23.746819,86
23.767084,80
23.787349,111
23.807614,98
23.827879,95
23.848144,116
23.868409,98
23.888674,109
23.908939,108
23.929204,105
23.949469,117
23.969735,149
23.99,160
24.010265,171
24.03053,203
24.050795,228
24.07106,252
24.091325,261
24.11159,317
24.131855,390
24.15212,443
24.172385,543
24.192651,721
24.212916,806
24.233181,994
24.253446,1160
24.273711,1259
24.293976,1269
24.314241,1232
24.334506,1043
24.354771,911
24.375036,754
24.395301,532
24.415566,478
24.435832,360
24.456097,283
24.476362,248
24.496627,235
24.516892,207
24.537157,195
24.557422,174
24.577687,156
24.597952,147
24.618217,149
24.638482,121
24.658748,137
24.679013,129
24.699278,94
24.719543,95
24.739808,91
24.760073,90
24.780338,88
24.800603,87
24.820868,85
24.841133,86
24.861398,85
24.881664,97
24.901929,76
24.922194,77
24.942459,81
24.962724,83
24.982989,80
25.003254,68
25.023519,74
25.043784,72
25.064049,71
25.084314,76
25.10458,62
25.124845,66
25.14511,65
25.165375,57
25.18564,67
25.205905,62
25.22617,70
25.246435,57
25.2667,58
25.286965,60
25.30723,67
25.327495,66
25.347761,59
25.368026,73
25.388291,72
25.408556,57
25.428821,61
25.449086,77
25.469351,54
25.489616,71
25.509881,46
25.530146,59
25.550411,43
25.570677,64
25.590942,59
25.611207,51
25.631472,64
25.651737,61
25.672002,54
25.692267,39
25.712532,51
25.732797,64
25.753062,57
25.773327,65
25.793593,61
25.813858,43
25.834123,58
25.854388,57
25.874653,59
25.894918,61
25.915183,55
25.935448,55
25.955713,52
25.975978,63
25.996243,45
26.016508,55
26.036774,63
26.057039,67
26.077304,48
26.097569,64
26.117834,57
26.138099,54
26.158364,66
26.178629,55
26.198894,59
26.219159,58
26.239424,57
26.25969,55
26.279955,54
26.30022,45
26.320485,68
26.34075,53
26.361015,58
26.38128,67
26.401545,61
26.42181,56
26.442075,63
26.46234,53
26.482606,47
26.502871,53
26.523136,57
26.543401,64
26.563666,61
26.583931,64
26.604196,42
26.624461,56
26.644726,51
26.664991,58
26.685256,55
26.705522,50
26.725787,52
26.746052,64
26.766317,60
26.786582,41
26.806847,54
26.827112,47
26.847377,36
26.867642,51
26.887907,51
26.908172,49
26.928437,54
26.948703,44
26.968968,41
26.989233,55
27.009498,48
27.029763,42
27.050028,40
27.070293,41
27.090558,29
27.110823,53
27.131088,45
27.151353,60
27.171619,56
27.191884,49
27.212149,45
27.232414,38
27.252679,41
27.272944,29
27.293209,60
27.313474,56
27.333739,44
27.354004,60
27.374269,57
27.394535,55
27.4148,54
27.435065,52
27.45533,45
27.475595,46
27.49586,55
27.516125,58
27.53639,53
27.556655,52
27.57692,57
27.597185,62
27.617451,43
27.637716,45
27.657981,53
27.678246,50
27.698511,42
27.718776,42
27.739041,57
27.759306,50
27.779571,56
27.799836,40
27.820101,39
27.840366,50
27.860632,62
27.880897,49
27.901162,44
27.921427,45
27.941692,49
27.961957,44
27.982222,50
28.002487,47
28.022752,53
28.043017,36
28.063282,49
28.083548,55
28.103813,46
28.124078,50
28.144343,54
28.164608,45
28.184873,54
28.205138,47
28.225403,48
28.245668,51
28.265933,45
28.286198,48
28.306464,48
28.326729,65
28.346994,49
28.367259,47
28.387524,43
28.407789,50
28.428054,47
28.448319,63
28.468584,52
28.488849,37
28.509114,50
28.529379,56
28.549645,56
28.56991,53
28.590175,45
28.61044,50
28.630705,52
28.65097,70
28.671235,51
28.6915,51
28.711765,40
28.73203,50
28.752295,47
28.772561,43
28.792826,47
28.813091,42
28.833356,42
28.853621,43
28.873886,48
28.894151,50
28.914416,47
28.934681,40
