2theta,intensity
5.001611515,1048
5.021876604,1029
5.042141692,1000
5.062406781,982
5.08267187,858
5.102936959,912
5.123202047,930
5.143467136,914
5.163732225,848
5.183997313,840
5.204262402,845
5.224527491,779
5.244792579,786
5.265057668,735
5.285322757,722
5.305587846,754
5.325852934,683
5.346118023,728
5.366383112,727
5.3866482,645
5.406913289,637
5.427178378,595
5.447443466,603
5.467708555,580
5.487973644,605
5.508238733,538
5.528503821,582
5.54876891,499
5.569033999,538
5.589299087,519
5.609564176,478
5.629829265,485
5.650094353,493
5.670359442,462
5.690624531,451
5.71088962,380
5.731154708,422
5.751419797,402
5.771684886,412
5.791949974,401
5.812215063,354
5.832480152,386
5.85274524,388
5.873010329,411
5.893275418,371
5.913540507,362
5.933805595,356
5.954070684,316
5.974335773,341
5.994600861,342
6.01486595,377
6.035131039,314
6.055396127,320
6.075661216,312
6.095926305,361
6.116191394,380
6.136456482,366
6.156721571,337
6.17698666,345
6.197251748,352
6.217516837,367
6.237781926,329
6.258047014,358
6.278312103,361
6.298577192,326
6.318842281,360
6.339107369,333
6.359372458,375
6.379637547,364
6.399902635,390
6.420167724,385
6.440432813,389
6.460697901,400
6.48096299,398
6.501228079,403
6.521493168,389
6.541758256,379
6.562023345,381
6.582288434,422
6.602553522,380
6.622818611,442
6.6430837,434
6.663348788,438
6.683613877,428
6.703878966,396
6.724144055,394
6.744409143,388
6.764674232,423
6.784939321,405
6.805204409,379
6.825469498,420
6.845734587,368
6.865999675,400
6.886264764,405
6.906529853,388
6.926794942,380
6.94706003,341
6.967325119,377
6.987590208,354
7.007855296,301
7.028120385,293
7.048385474,327
7.068650562,333
7.088915651,320
7.10918074,312
7.129445829,285
7.149710917,300
7.169976006,286
7.190241095,283
7.210506183,281
7.230771272,263
7.251036361,259
7.271301449,277
7.291566538,305
7.311831627,246
7.332096716,249
7.352361804,282
7.372626893,232
7.392891982,268
7.41315707,237
7.433422159,245
7.453687248,229
7.473952336,251
7.494217425,247
7.514482514,255
7.534747603,243
7.555012691,226
7.57527778,233
7.595542869,218
7.615807957,210
7.636073046,235
7.656338135,209
7.676603223,241
7.696868312,196
7.717133401,243
7.73739849,198
7.757663578,193
7.777928667,188
7.798193756,227
7.818458844,214
7.838723933,239
7.858989022,198
7.87925411,202
7.899519199,183
7.919784288,205
7.940049377,192
7.960314465,179
7.980579554,199
8.000844643,167
8.021109731,197
8.04137482,185
8.061639909,205
8.081904997,180
8.102170086,178
8.122435175,203
8.142700264,169
8.162965352,181
8.183230441,209
8.20349553,171
8.223760618,180
8.244025707,194
8.264290796,202
8.284555884,198
8.304820973,203
8.325086062,183
8.345351151,185
8.365616239,188
8.385881328,179
8.406146417,194
8.426411505,180
8.446676594,187
8.466941683,165
8.487206771,178
8.50747186,174
8.527736949,172
8.548002038,183
8.568267126,190
8.588532215,189
8.608797304,173
8.629062392,185
8.649327481,173
8.66959257,188
8.689857658,182
8.710122747,183
8.730387836,179
8.750652925,181
8.770918013,215
8.791183102,159
8.811448191,165
8.831713279,176
8.851978368,166
8.872243457,198
8.892508545,208
8.912773634,196
8.933038723,193
8.953303812,192
8.9735689,227
8.993833989,210
9.014099078,214
9.034364166,224
9.054629255,229
9.074894344,202
9.095159432,203
9.115424521,192
9.13568961,204
9.155954699,193
9.176219787,182
9.196484876,145
9.216749965,165
9.237015053,180
9.257280142,167
9.277545231,166
9.297810319,142
9.318075408,160
9.338340497,133
9.358605586,117
9.378870674,135
9.399135763,154
9.419400852,151
9.43966594,138
9.459931029,128
9.480196118,128
9.500461206,123
9.520726295,129
9.540991384,128
9.561256473,138
9.581521561,137
9.60178665,113
9.622051739,135
9.642316827,114
9.662581916,113
9.682847005,106
9.703112093,104
9.723377182,114
9.743642271,98
9.76390736,110
9.784172448,127
9.804437537,118
9.824702626,104
9.844967714,99
9.865232803,104
9.885497892,114
9.90576298,94
9.926028069,117
9.946293158,120
9.966558247,105
9.986823335,91
10.00708842,98
10.02735351,128
10.0476186,105
10.06788369,94
10.08814878,118
10.10841387,113
